"Record Number","Record Type","Licensee Name","Address","Expiration Date","Status","Home Delivery","Disciplinary Action",
"AU-ER-004087","Adult-Use Entity Registration - License","19325 US HWY 12 LLC",,"05/30/2025","Active - Main Prequalified",,,
"AU-R-001004","Marihuana Retailer - License","The Flower Bowl II","315 N Inkster RD, Inkster MI 48141","05/26/2024","Active",,,
"AU-R-000979","Marihuana Retailer - License","Meds Cafe","225 S. Michigan AVE, Big Rapids MI 49307","12/27/2023","Active",,,
"AU-R-000955","Marihuana Retailer - License","Cloud Cannabis Muskegon","2190 Whitehall RD Suite E, Muskegon MI 49445","05/26/2024","Active",,,
"AU-ER-003985","Adult-Use Entity Registration - License","AHO Holdings, LLC",,"05/25/2025","Active - Main Prequalified",,,
"AU-ER-003977","Adult-Use Entity Registration - License","Cannaking Labs, LLC",,"05/25/2025","Active - Main Prequalified",,,
"AU-DCE-000104","Designated Consumption Establishment - License","Hot Box Social","23610 JOHN R RD, Hazel Park MI 48030","05/25/2024","Active",,,
"AU-R-000964","Marihuana Retailer - License","Skymint - District Park","822 E. Front ST, Traverse City MI 49686","07/21/2024","Active",,,
"AU-G-C-001168","Class C Marihuana Grower - License","Elkhorn Valley LLC","402 S Oak ST, Buchanan MI 49107","05/24/2024","Active",,,
"AU-ER-004038","Adult-Use Entity Registration - License","27035 CO Rd 215 Inc",,"05/24/2025","Active - Main Prequalified",,,
"AU-ER-004078","Adult-Use Entity Registration - License","Sylvan Developers, LLC",,"05/24/2025","Active - Main Prequalified",,,
"AU-ER-004074","Adult-Use Entity Registration - License","Original Retailer, LLC",,"05/24/2025","Active - Main Prequalified",,,
"AU-ER-004051","Adult-Use Entity Registration - License","Inkster Microbusiness, LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-P-000417","Marihuana Processor - License","HP Lab Group LLC","21107 JOHN R RD, HAZEL PARK MI 48030","05/23/2024","Active",,,
"AU-ER-003983","Adult-Use Entity Registration - License","Caldwell 5540 LLC",,"05/23/2025","Active - Main Prequalified",,,
"AU-G-C-001227","Class C Marihuana Grower - License","Plant Nerd","69348 40th ST, Paw Paw MI 49079","05/22/2024","Active",,,
"AU-G-C-001171","Class C Marihuana Grower - License","Delta Farms, LLC","864 N. 12th ST Suite 27, Niles MI 49120","05/22/2024","Active",,,
"AU-R-000942","Marihuana Retailer - License","77 North Inc","1651 S. Front St., Marquette MI 49855","02/18/2024","Active",,,
"AU-P-000415","Marihuana Processor - License","Caro Labs LLC","1347 Prospect AVE, CARO MI 48723","05/22/2024","Active",,,
"AU-G-A-000138","Class A Marihuana Grower - License","High Bud","5963 Scholl RD, Mancelona MI 49659","05/19/2024","Active",,,
"AU-ER-003708","Adult-Use Entity Registration - License","North Star Cannabis LLC",,"05/19/2025","Active - Main Prequalified",,,
"AU-G-C-001202","Class C Marihuana Grower - License","Cloud Cover","1209 Tech DR, Webberville MI 48892","02/10/2024","Active",,,
"AU-ER-004005","Adult-Use Entity Registration - License","Lazy Ape, LLC",,"05/18/2025","Active - Main Prequalified",,,
"AU-ER-003994","Adult-Use Entity Registration - License","Microbros LLC",,"05/18/2025","Active - Main Prequalified",,,
"AU-ER-003996","Adult-Use Entity Registration - License","Bessinger Holdings LLC",,"05/18/2025","Active - Main Prequalified",,,
"AU-ER-004024","Adult-Use Entity Registration - License","Savage Farms, LLC",,"05/18/2025","Active - Main Prequalified",,,
"AU-TME-000157","Temporary Marihuana Event - License","High Tide","21509 John R RD, Hazel Park MI 48030","06/25/2023","License Void","Event Name: High Tide | Event Address: 21509 John R Rd, Hazel Park, MI 48030 | Event Date: 6/24/2023 11AM-10 PM-6/25/2023 11 AM-6 PM",,
"AU-G-C-001159","Class C Marihuana Grower - License","Granny Farm, LLC","6121 Casmere ST, Detroit MI 48212","05/17/2024","Active",,,
"AU-P-000418","Marihuana Processor - License","Ann Arbor Farms LLC","1254 N. Main ST Bldg 1, Ann Arbor MI 48104","05/17/2024","Active",,,
"AU-ER-003918","Adult-Use Entity Registration - License","Wise Tree Farms LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-ER-003837","Adult-Use Entity Registration - License","GRG Enterprises, INC",,"05/17/2025","Active - Main Prequalified",,,
"AU-MEO-000183","Marihuana Event Organizer - License","Exotic Pharms LLC","3434 Chene ST 7396, Detroit MI 48207","05/17/2024","Active",,,
"AU-MEO-000184","Marihuana Event Organizer - License","Backwoods and Bonfires LLC",,"05/17/2024","Active",,,
"AU-ER-004043","Adult-Use Entity Registration - License","The Fire Station Menominee, LLC",,"05/17/2025","Active - Main Prequalified",,,
"AU-ER-004058","Adult-Use Entity Registration - License","DN Advanced Capital, LLC",,"05/17/2025","Active - Main Prequalified",,,
"AU-ER-004059","Adult-Use Entity Registration - License","Blaq and Blooming, LLC",,"05/16/2025","Active - Main Prequalified",,,
"AU-G-C-001169","Class C Marihuana Grower - License","DMM Grow","1520 E Cavanaugh RD, Lansing MI 48910","05/16/2024","Active",,,
"AU-G-C-001224","Class C Marihuana Grower - License","Greenberry Farms LLC","55949 Huff RD, Marcellus MI 49067","04/04/2024","Active",,,
"AU-ER-004042","Adult-Use Entity Registration - License","Top Notch Cannabis LLC",,"05/16/2025","Active - Main Prequalified",,,
"AU-ER-003955","Adult-Use Entity Registration - License","ICE Processing Corp",,"05/16/2025","Active - Main Prequalified",,,
"AU-ER-004018","Adult-Use Entity Registration - License","NTMW, Inc.",,"05/16/2025","Active - Main Prequalified",,,
"AU-G-C-001223","Class C Marihuana Grower - License","Greenberry Farms LLC","55949 Huff RD, Marcellus MI 49067","04/04/2024","Active",,,
"AU-G-C-001222","Class C Marihuana Grower - License","Greenberry Farms LLC","55949 Huff RD, Marcellus MI 49067","04/04/2024","Active",,,
"AU-G-C-001221","Class C Marihuana Grower - License","Greenberry Farms LLC","55949 Huff RD, Marcellus MI 49067","04/04/2024","Active",,,
"AU-ER-003933","Adult-Use Entity Registration - License","MMAA HOLDINGS LLC",,"05/15/2025","Active - Main Prequalified",,,
"AU-G-B-000256","Class B Marihuana Grower - License","Brothers Cole, Inc","52558 Burlington RD, Marcellus MI 49067","05/15/2024","Active",,,
"AU-R-000984","Marihuana Retailer - License","Nirvana Escanaba","317 N Lincoln RD, Escanaba MI 49829","05/15/2024","Active",,,
"AU-ER-004028","Adult-Use Entity Registration - License","KOOL KATZ INC",,"05/12/2025","Active - Main Prequalified",,,
"AU-G-C-001220","Class C Marihuana Grower - License","Wheelhouse Growers, LLC","19832 E. North Caribou Lake RD, DeTour MI 49725","01/08/2024","Active",,,
"AU-R-000993","Marihuana Retailer - License","HERBOLOGY CANNABIS CO. YPSILANTI","915 W Michigan AVE, Ypsilanti MI 48197","05/12/2024","Active",,,
"AU-ER-004017","Adult-Use Entity Registration - License","NTMR INC.",,"05/12/2025","Active - Main Prequalified",,,
"AU-R-000972","Marihuana Retailer - License","Primo Provisioning - Saginaw","1215 Court ST, Saginaw MI 48602","06/24/2024","Active",,,
"AU-ER-003741","Adult-Use Entity Registration - License","Aethon Ventures, LLC",,"05/12/2025","Active - Main Prequalified",,,
"AU-ER-003935","Adult-Use Entity Registration - License","Luckyspot LLC",,"05/12/2025","Active - Main Prequalified",,,
"AU-R-000960","Marihuana Retailer - License","1385 S. Huron Retail, LLC","5620 S. Cedar ST, Lansing MI 48911","05/11/2024","Active",,,
"AU-ER-004007","Adult-Use Entity Registration - License","DSLEVERSEN, LLC",,"05/11/2025","Active - Main Prequalified",,,
"AU-G-C-001182","Class C Marihuana Grower - License","Genetix Cannabis","23364 Amber AVE, Warren MI 48089","05/11/2024","Active",,,
"AU-ER-003855","Adult-Use Entity Registration - License","T Shemami Enterprises, LLC",,"05/10/2025","Active - Main Prequalified",,,
"AU-R-000977","Marihuana Retailer - License","SUPERGOOD","4431 W MONROE RD, PENTWATER MI 49449","05/10/2024","Active",,,
"AU-R-000973","Marihuana Retailer - License","Nuggets Canna Co.","705 1/2 W Cross ST, Ypsilanti MI 48197","05/10/2024","Active",,,
"AU-ER-004004","Adult-Use Entity Registration - License","420 Farms, LLC",,"05/10/2025","Active - Main Prequalified",,,
"AU-R-000950","Marihuana Retailer - License","Nirvana Kalamazoo, LLC","401 N. Sage ST, Kalamazoo MI 49006","05/10/2024","Active",,,
"AU-MB-A-000006","Class A Marihuana Microbusiness - License","The Hive at BDT","21630 John R RD Bldg, Hazel Park MI 48030","05/09/2024","Active",,,
"AU-ER-003824","Adult-Use Entity Registration - License","TRIPPY FOREST LLC",,"05/09/2025","Active - Main Prequalified",,,
"AU-ER-004023","Adult-Use Entity Registration - License","NBT Group LLC",,"05/09/2025","Active - Main Prequalified",,,
"AU-R-000974","Marihuana Retailer - License","Elevated Bay City, LLC","912 N. Euclid AVE, Bay City MI 48706","05/09/2024","Active",,,
"AU-G-C-001200","Class C Marihuana Grower - License","Alpine Grows LLC","19380 Brenroy DR, Marshall MI 49068","05/08/2024","Active",,,
"AU-R-000968","Marihuana Retailer - License","The Refinery","752 Munson AVE, Traverse City MI 49686","05/08/2024","Active",,,
"AU-G-C-001201","Class C Marihuana Grower - License","Alpine Grows LLC","19380 Brenroy DR, Marshall MI 49068","05/08/2024","Active",,,
"AU-ER-003866","Adult-Use Entity Registration - License","Beez Knees, LLC",,"05/08/2025","Active - Main Prequalified",,,
"AU-ER-003971","Adult-Use Entity Registration - License","Evergrow, LLC",,"05/05/2025","Active - Main Prequalified",,,
"AU-P-000416","Marihuana Processor - License","DISTRO 10 INC","21445 Hoover RD Suite 302, Warren MI 48089","08/18/2024","Active",,,
"AU-R-000981","Marihuana Retailer - License","LUMBERJACK'S PROVISIONING CENTER","1450 W M-43 HIGHWAY Suite 5, HASTINGS MI 49058","05/19/2024","Active",,,
"AU-R-000988","Marihuana Retailer - License","Potter's Cannabis Boutique","2825 Capital Avenue SW, Battle Creek MI 49015","05/04/2024","Active",,,
"AU-ER-003984","Adult-Use Entity Registration - License","Mei Lewis Enterprises, LLC",,"05/04/2025","Active - Main Prequalified",,,
"AU-G-C-001197","Class C Marihuana Grower - License","Real Leaf Solutions","1707 Enterprise DR, Kalkaska MI 49646","11/18/2023","Active",,,
"AU-ER-004006","Adult-Use Entity Registration - License","Tip Tops, LLC",,"05/03/2025","Active - Main Prequalified",,,
"AU-ER-003978","Adult-Use Entity Registration - License","Bloom Warren LLC",,"05/03/2025","Active - Main Prequalified",,,
"AU-ER-003915","Adult-Use Entity Registration - License","DJVS LLC",,"05/03/2025","Active - Main Prequalified",,,
"AU-ER-003902","Adult-Use Entity Registration - License","Mega Grow LLC",,"05/03/2025","Active - Main Prequalified",,,
"AU-ER-004014","Adult-Use Entity Registration - License","Budtopia, LLC",,"05/02/2025","Active - Main Prequalified",,,
"AU-ER-004009","Adult-Use Entity Registration - License","Star Budz SH LLC",,"05/02/2025","Active - Main Prequalified",,,
"AU-G-C-001152","Class C Marihuana Grower - License","Nu Group, LLC","14500 Laplaisance RD Unit A10-A40, Monroe MI 48161","06/15/2024","Active",,,
"AU-G-C-001170","Class C Marihuana Grower - License","Nu Group, LLC","14500 LaPlaisance RD Unit A10-A40, Monroe MI 48161","06/15/2024","Active",,,
"AU-G-C-001179","Class C Marihuana Grower - License","Smart Meds LLC","731 E Kalamazoo ST, Lansing MI 48912","05/02/2024","Active",,,
"AU-ER-003979","Adult-Use Entity Registration - License","1 Craft Action, Inc.",,"05/02/2025","Active - Main Prequalified",,,
"AU-G-C-001175","Class C Marihuana Grower - License","Galenas Michigan LLC","118 ALVORD RD, Camden MI 49232","12/10/2023","Active",,,
"AU-ER-003833","Adult-Use Entity Registration - License","Great Lakes Cultivations, LLC",,"05/02/2025","Active - Main Prequalified",,,
"AU-G-C-001176","Class C Marihuana Grower - License","Galenas Michigan LLC","118 Alvord RD, Camden MI 49232","12/10/2023","Active",,,
"AU-G-C-001173","Class C Marihuana Grower - License","Arjuna LLC","3110 Turner ST Suite 3L, Lansing MI 48906","05/01/2024","Active",,,
"AU-G-C-001189","Class C Marihuana Grower - License","Hytek Cultivation","12651 Stout ST, Detroit MI 48223","07/28/2024","Active",,,
"AU-ER-003957","Adult-Use Entity Registration - License","Monroe Cultivation LLC",,"05/01/2025","Active - Main Prequalified",,,
"AU-G-C-001180","Class C Marihuana Grower - License","OTEAL2 LLC","1401 N. Johnson ST, Bay City MI 48708","04/28/2024","Active",,,
"AU-ER-003970","Adult-Use Entity Registration - License","Part and Parcel, LLC",,"04/28/2025","Active - Main Prequalified",,,
"AU-R-000989","Marihuana Retailer - License","Jailhouse Cannabis Co","12545 State St, Atlanta MI 49709","11/23/2023","Active",,,
"AU-ER-003973","Adult-Use Entity Registration - License","Bigg Canna of Edmore LLC",,"04/27/2025","Active - Main Prequalified",,,
"AU-G-C-001174","Class C Marihuana Grower - License","Precision Capital, LLC","10040 N Dort HWY, Clio MI 48420","10/14/2023","Active",,,
"AU-ER-003972","Adult-Use Entity Registration - License","Star Budz Provisioning Center Millington, LLC",,"04/27/2025","Active - Main Prequalified",,,
"AU-R-000982","Marihuana Retailer - License","Gage Cannabis Company","450 S. Glaspie ST, Oxford MI 48371","06/04/2024","Active",,,
"AU-G-C-001156","Class C Marihuana Grower - License","Jupiter Operations, LLC","6544 US HWY 131, Fife Lake MI 49633","04/27/2024","Active",,,
"AU-ER-003940","Adult-Use Entity Registration - License","HGZ Group LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-G-C-001188","Class C Marihuana Grower - License","100 Leafs","845 Industrial DR, Allegan MI 49010","03/22/2024","Active",,,
"AU-G-C-001187","Class C Marihuana Grower - License","100 Leafs","845 Industrial DR, Allegan MI 49010","03/22/2024","Active",,,
"AU-R-000978","Marihuana Retailer - License","Hydro Budz, LLC","221 Mill ST Suite B, Brooklyn MI 49230","04/26/2024","Active",,,
"AU-G-C-001190","Class C Marihuana Grower - License","Lansing Pros, Inc.","22550 Nagel ST, Warren MI 48089","01/03/2024","Active",,,
"AU-G-C-001191","Class C Marihuana Grower - License","Lansing Pros, Inc","22550 Nagel ST, Warren MI 48089","01/03/2024","Active",,,
"AU-G-C-001192","Class C Marihuana Grower - License","Lansing Pros, Inc.","22550 Nagel ST, Warren MI 48089","01/03/2024","Active",,,
"AU-G-C-001193","Class C Marihuana Grower - License","Lansing Pros, Inc.","22550 Nagel ST, Warren MI 48089","01/03/2024","Active",,,
"AU-ER-003930","Adult-Use Entity Registration - License","1709 Marquette LLC",,"04/26/2025","Active - Main Prequalified",,,
"AU-R-000976","Marihuana Retailer - License","Cloud Cannabis Fulton","621 Fulton ST W., Grand Rapids MI 49504","04/25/2024","Active",,,
"AU-R-000971","Marihuana Retailer - License","Bloomhill, LLC","107 E. State Street, Mancelona MI 49659","04/25/2024","Active",,,
"AU-R-000975","Marihuana Retailer - License","Motor City Kush Detroit","10 E. 8 Mile RD, Detroit MI 48203","04/25/2024","Active",,,
"AU-R-000957","Marihuana Retailer - License","Sapura","3000 Dunckel RD Suite B, Lansing MI 48910","04/18/2024","Active",,,
"AU-ER-003961","Adult-Use Entity Registration - License","Main Property Holdings LLC",,"04/24/2025","Active - Main Prequalified",,,
"AU-G-B-000253","Class B Marihuana Grower - License","PelleGreenCo, LLC","7325 Enterprise PKWY, Mt. Morris MI 48458","04/24/2024","Active",,,
"AU-G-C-001154","Class C Marihuana Grower - License","Elysium Cultivation","24250 Mound RD, Warren MI 48091","12/17/2023","Active",,,
"AU-ER-003790","Adult-Use Entity Registration - License","Botanical Health, LLC",,"04/21/2025","Active - Main Prequalified",,,
"AU-G-C-001167","Class C Marihuana Grower - License","Bay Flower LLC","303 S Water ST, Bay City MI 48708","04/20/2024","Active",,,
"AU-G-C-001158","Class C Marihuana Grower - License","HMFM Holdings, LLC","1007 Industrial BLVD Bldg, Albion MI 49224","04/20/2024","Active",,,
"AU-ER-003734","Adult-Use Entity Registration - License","VD Ventures, LLC",,"04/20/2025","Active - Main Prequalified",,,
"AU-ER-003793","Adult-Use Entity Registration - License","The Jabal 123, LLC",,"04/20/2025","Active - Main Prequalified",,,
"AU-P-000407","Marihuana Processor - License","Great Lakes Natural Solutions LLC","265 Crandall PKWY, Lawrence MI 49064","03/03/2024","Active",,,
"AU-R-000987","Marihuana Retailer - License","ZAZA CANNABIS CO.","12934 EVERGREEN RD Unit 100, DETROIT MI 48223","04/19/2024","Active",,,
"AU-P-000414","Marihuana Processor - License","Hypothic, Inc.","205 West Oliver DR, Marshall MI 49068","04/19/2024","Active",,,
"AU-ER-003954","Adult-Use Entity Registration - License","Green Acres Collective, LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-ER-003831","Adult-Use Entity Registration - License","Misty Mountain Acquistions, LLC",,"04/19/2025","Active - Main Prequalified",,,
"AU-MEO-000182","Marihuana Event Organizer - License","Greenstone Metro LLC","1363 E Fisher Freeway #7, Detroit MI 48207","04/19/2024","Active",,,
"AU-ER-003782","Adult-Use Entity Registration - License","Forestree Lounges LLC",,"04/18/2025","Active - Main Prequalified",,,
"AU-ER-003932","Adult-Use Entity Registration - License","KDS VENTURES INC",,"04/18/2025","Active - Main Prequalified",,,
"AU-ER-003780","Adult-Use Entity Registration - License","3Ells LLC",,"04/18/2025","Active - Main Prequalified",,,
"AU-G-C-001150","Class C Marihuana Grower - License","Potter's Farm","1233 River Road West, Battle Creek MI 49037","04/18/2024","Active",,,
"AU-SC-000141","Marihuana Safety Compliance Facility - License","Pristine Labs, LLC","18270 TELEGRAPH RD Suite B, Detroit MI 48219","04/17/2024","Active",,,
"AU-R-000970","Marihuana Retailer - License","Green Trend, Inc.","465 East Michigan Avenue, Saline MI 48176","04/17/2024","Active",,,
"AU-MEO-000177","Marihuana Event Organizer - License","MMAD Good LLC","PO Box 17, Troy MI 48099","04/17/2024","Active",,,
"AU-ER-003919","Adult-Use Entity Registration - License","NDU Collective, Inc.",,"04/14/2025","Active - Main Prequalified",,,
"AU-G-C-001138","Class C Marihuana Grower - License","100 Leafs","845 Industrial DR, Allegan MI 49010","03/22/2024","Active",,,
"AU-ER-003926","Adult-Use Entity Registration - License","Mama Made It LLC",,"04/13/2025","Active - Main Prequalified",,,
"AU-ER-003776","Adult-Use Entity Registration - License","Standard Flower LLC",,"04/12/2025","Active - Main Prequalified",,,
"AU-ER-003861","Adult-Use Entity Registration - License","Legend Green Venture, LLC",,"04/12/2025","Active - Main Prequalified",,,
"AU-ER-003923","Adult-Use Entity Registration - License","The Lane Family Group LLC",,"04/12/2025","Active - Main Prequalified",,,
"AU-ER-003879","Adult-Use Entity Registration - License","City Labs, LLC",,"04/12/2025","Active - Main Prequalified",,,
"AU-G-B-000249","Class B Marihuana Grower - License","The Detroit Bud Company","23295 Blackstone AVE, Warren MI 48089","04/11/2024","Active",,,
"AU-TME-000155","Temporary Marihuana Event - License","Spark in the Park Music Festival","2 E Cross ST, Ypsilanti MI 48198","06/11/2023","Closed",,,
"AU-P-000405","Marihuana Processor - License","The Flower Plant","24 E US HWY 41, Negaunee MI 49866","12/17/2023","Active",,,
"AU-ER-003869","Adult-Use Entity Registration - License","HTP Telegraph, LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-MEO-000181","Marihuana Event Organizer - License","Dedaco, LLC",,"04/10/2024","Active",,,
"AU-R-000941","Marihuana Retailer - License","Flora East Lansing","7733 East Saginaw HWY Suite 1, East Lansing MI 48823","04/10/2024","Active",,,
"AU-R-000965","Marihuana Retailer - License","Shango Lapeer","10 E. Genesee ST, Lapeer MI 48446","07/27/2024","Active",,,
"AU-TME-000154","Temporary Marihuana Event - License","420 Cannabis Festival (3rd Annual)","2000 Brooklyn ST, Detroit MI 48226","04/29/2023","License Void","Event Name: 420 Cannabis Festival (3rd Annual) | Event Address: 2000 Brooklyn St. Detroit, MI 48226 | Event Date: 4/29/2023 12pm - 12am",,
"AU-ER-003877","Adult-Use Entity Registration - License","Gallery Macomb, LLC",,"04/07/2025","Active - Main Prequalified",,,
"AU-SC-000140","Marihuana Safety Compliance Facility - License","Atomic Labs LLC","700 East Huron AVE Bldg 3, Vassar MI 48768","04/07/2024","Active",,,
"AU-ER-003916","Adult-Use Entity Registration - License","Alpine Grows LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-ER-003900","Adult-Use Entity Registration - License","Smokie Ridge Cannabis, LLC",,"04/06/2025","Active - Main Prequalified",,,
"AU-ER-003920","Adult-Use Entity Registration - License","Berry Green Farms LLC",,"04/06/2025","Active - Main Prequalified",,,
"AU-ER-003814","Adult-Use Entity Registration - License","Infinity Extraction Solutions, LLC",,"04/05/2025","Active - Main Prequalified",,,
